DATE;USSTHPI
1/1/2014;84500
1/2/2014;82200
1/3/2014;83900
1/4/2014;83000
1/5/2014;78300
1/6/2014;84000
1/7/2014;80100
1/8/2014;87600
1/9/2014;82600
1/10/2014;76900
1/11/2014;83500
1/12/2014;78100
1/1/2015;84400
1/2/2015;87000
1/3/2015;85000
1/4/2015;86500
1/5/2015;89100
1/6/2015;87500
1/7/2015;83700
1/8/2015;87100
1/9/2015;87700
1/10/2015;84900
1/11/2015;89400
1/12/2015;88100
1/1/2016;84100
1/2/2016;92600
1/3/2016;88300
1/4/2016;87500
1/5/2016;87800
1/6/2016;87000
1/7/2016;91000
1/8/2016;93100
1/9/2016;93000
1/10/2016;87400
1/11/2016;90900
1/12/2016;90800
1/1/2017;89700
1/2/2017;92500
1/3/2017;88000
1/4/2017;89900
1/5/2017;87900
1/6/2017;97400
1/7/2017;93800
1/8/2017;94300
1/9/2017;93800
1/10/2017;95500
1/11/2017;99100
1/12/2017;91800
1/1/2018;92100
1/2/2018;93800
1/3/2018;91400
1/4/2018;98700
1/5/2018;99100
1/6/2018;101300
1/7/2018;99300
1/8/2018;100900
1/9/2018;105400
1/10/2018;106000
1/11/2018;100500
1/12/2018;106000
1/1/2019;103400
1/2/2019;107600
1/3/2019;102100
1/4/2019;100700
1/5/2019;98100
1/6/2019;103800
1/7/2019;106500
1/8/2019;107900
1/9/2019;101800
1/10/2019;103800
1/11/2019;107100
1/12/2019;105700
1/1/2020;107900
1/2/2020;107500
1/3/2020;106900
1/4/2020;108200
1/5/2020;109100
1/6/2020;109800
1/7/2020;102700
1/8/2020;109300
1/9/2020;107800
1/10/2020;110000
1/11/2020;112800
1/12/2020;110800
1/1/2021;118500
1/2/2021;122500
1/3/2021;123200
1/4/2021;122500
1/5/2021;128300
1/6/2021;128100
1/7/2021;137800
1/8/2021;138000
1/9/2021;141300
1/10/2021;138200
1/11/2021;139900
1/12/2021;150300
1/1/2022;152800
1/2/2022;156300
1/3/2022;156600
1/4/2022;168000
1/5/2022;159200
1/6/2022;159600
1/7/2022;161600
1/8/2022;158800
1/9/2022;159400
1/10/2022;160400
1/11/2022;155200
1/12/2022;155700
1/1/2023;156900
1/2/2023;160400
1/3/2023;155400
1/4/2023;153600
1/5/2023;160200
1/6/2023;153900
1/7/2023;150200
1/8/2023;154600
1/9/2023;151700
;
